Measurement Year,Facility Name,Current Facility Name,Facility ID,Facility OPCERT,Facility Medicare Number,Measure Short Name,Measure Full Name,Measure ID Number,First Quintile,Second Quintile,Third Quintile,Fourth Quintile,Fifth Quintile,Numeric Value,Character Value,Quintile,Points,Comments,City,County,Region,Location
2023,Aaron Manor Rehabilitation and Nursing Center,Aaron Manor Rehabilitation and Nursing Center,431,2725301,335532,RESIDENT PNEUMOCOCCAL VACCINE,Percent of long stay residents who received the pneumococcal vaccine,6.2,99,84,76,66,54,88,,1,5,,Fairport,Monroe,WRO,"(43.1215, -77.4417)"
2023,Aaron Manor Rehabilitation and Nursing Center,Aaron Manor Rehabilitation and Nursing Center,431,2725301,335532,RESIDENT WEIGHT LOSS,Percent of long stay residents who lose too much weight,10,3.9,5.2,6.3,7.8,18.2,5.8,,3,1,,Fairport,Monroe,WRO,"(43.1215, -77.4417)"
2023,Aaron Manor Rehabilitation and Nursing Center,Aaron Manor Rehabilitation and Nursing Center,431,2725301,335532,RESIDENT FALLS,Percent of long stay residents experiencing one or more falls with major injury,8,1.3,2.1,3.1,4.7,12.4,6.5,,NA,0,,Fairport,Monroe,WRO,"(43.1215, -77.4417)"
2023,Aaron Manor Rehabilitation and Nursing Center,Aaron Manor Rehabilitation and Nursing Center,431,2725301,335532,RESIDENT DEPRESSION,Percent of long stay residents who have depressive symptoms,9,0.9,3.3,9.2,23.8,100,0.5,,1,5,,Fairport,Monroe,WRO,"(43.1215, -77.4417)"
2023,Aaron Manor Rehabilitation and Nursing Center,Aaron Manor Rehabilitation and Nursing Center,431,2725301,335532,FACILITY JKL,J/K/L deficiency,21,,,,,,,No,,,,Fairport,Monroe,WRO,"(43.1215, -77.4417)"
2023,Aaron Manor Rehabilitation and Nursing Center,Aaron Manor Rehabilitation and Nursing Center,431,2725301,335532,RESIDENT ADL INCREASE,Percent of long stay residents whose need for help with daily activities has increased,13,10,12,16,19,43,21,,5,0,,Fairport,Monroe,WRO,"(43.1215, -77.4417)"
2023,Aaron Manor Rehabilitation and Nursing Center,Aaron Manor Rehabilitation and Nursing Center,431,2725301,335532,RESIDENT UTI,Percent of long stay residents with a urinary tract infection,14,0.4,0.9,1.7,2.8,12.9,1.2,,NA,5,,Fairport,Monroe,WRO,"(43.1215, -77.4417)"
2023,Aaron Manor Rehabilitation and Nursing Center,Aaron Manor Rehabilitation and Nursing Center,431,2725301,335532,FACILITY SCORE,Overall Score Ratio per Base Points,19,92,60,53.3,46.7,37.8,,,4,44.4,,Fairport,Monroe,WRO,"(43.1215, -77.4417)"
2023,Aaron Manor Rehabilitation and Nursing Center,Aaron Manor Rehabilitation and Nursing Center,431,2725301,335532,FACILITY EMPLOYEE FLU VACCINE,Percent of employees vaccinated for the flu,3,100,77,62,50,37,58,,3,1,,Fairport,Monroe,WRO,"(43.1215, -77.4417)"
2023,Aaron Manor Rehabilitation and Nursing Center,Aaron Manor Rehabilitation and Nursing Center,431,2725301,335532,FACILITY QUINTILE RANK,Quintile ranking,20,92,60,53.3,46.7,37.8,4,,,,,Fairport,Monroe,WRO,"(43.1215, -77.4417)"
2023,Aaron Manor Rehabilitation and Nursing Center,Aaron Manor Rehabilitation and Nursing Center,431,2725301,335532,RESIDENT PAH ADJUSTED,"Number of potentially avoidable hospitalizations per 10,000 long stay days",18,3.3,4.6,5.7,7.5,17.6,4,,2,8,,Fairport,Monroe,WRO,"(43.1215, -77.4417)"
2023,Aaron Manor Rehabilitation and Nursing Center,Aaron Manor Rehabilitation and Nursing Center,431,2725301,335532,RATE OF STAFF HOURS PER DAY,Rate of staffing hours per resident per day,2.2,7.1,4,3.5,3.3,3,3.4,,3,1,,Fairport,Monroe,WRO,"(43.1215, -77.4417)"
2023,Aaron Manor Rehabilitation and Nursing Center,Aaron Manor Rehabilitation and Nursing Center,431,2725301,335532,NYS REGIONAL FIVE-STAR HEALTH,NYS regionally adjusted five-star quality rating for health inspections,15,6.67,15.33,22.67,39.17,96.33,3,,NA,4,,Fairport,Monroe,WRO,"(43.1215, -77.4417)"
2023,Aaron Manor Rehabilitation and Nursing Center,Aaron Manor Rehabilitation and Nursing Center,431,2725301,335532,RESIDENT PRESSURE ULCER,Percent of long stay high risk residents with pressure ulcers,4,5.7,7.6,9.6,12.2,27,8.8,,3,1,,Fairport,Monroe,WRO,"(43.1215, -77.4417)"
2023,Aaron Manor Rehabilitation and Nursing Center,Aaron Manor Rehabilitation and Nursing Center,431,2725301,335532,TOTAL NURSING STAFF TURNOVER,The percentage of nursing staff that left the nursing home over a twelve-month period,14.1,41.8,49.3,55.5,62.3,100,58.5,,4,0,,Fairport,Monroe,WRO,"(43.1215, -77.4417)"
2023,Aaron Manor Rehabilitation and Nursing Center,Aaron Manor Rehabilitation and Nursing Center,431,2725301,335532,RESIDENT INCONTINENCE,Percent of long stay low risk residents who lose control of their bowel or bladder,5,42,53,62,73,98,65,,4,0,,Fairport,Monroe,WRO,"(43.1215, -77.4417)"
2023,Aaron Manor Rehabilitation and Nursing Center,Aaron Manor Rehabilitation and Nursing Center,431,2725301,335532,RESIDENT FLU VACCINE,Percent of long stay residents who received the seasonal influenza vaccine,7.2,99,89,84,78,71,88,,2,4,,Fairport,Monroe,WRO,"(43.1215, -77.4417)"
2023,Aaron Manor Rehabilitation and Nursing Center,Aaron Manor Rehabilitation and Nursing Center,431,2725301,335532,FACILITY CONTRACT STAFF,Percent of contract/agency staff used,1,,,,,,10,,NA,0,,Fairport,Monroe,WRO,"(43.1215, -77.4417)"
2023,Aaron Manor Rehabilitation and Nursing Center,Aaron Manor Rehabilitation and Nursing Center,431,2725301,335532,FACILITY EMPLOYEE FLU TIMELY,Timely submission of employee influenza immunization data,16,,,,,,,Yes,NA,5,,Fairport,Monroe,WRO,"(43.1215, -77.4417)"
2023,Aaron Manor Rehabilitation and Nursing Center,Aaron Manor Rehabilitation and Nursing Center,431,2725301,335532,FACILITY CLOSURE,Facility closed during the measurement or reporting year,22,,,,,,,No,,,,Fairport,Monroe,WRO,"(43.1215, -77.4417)"
2023,"Absolut Center for Nursing and Rehabilitation at Allegany, LLC","Absolut Center for Nursing and Rehabilitation at Allegany, LLC",73,420302,335610,FACILITY CLOSURE,Facility closed during the measurement or reporting year,22,,,,,,,No,,,,Allegany,Cattaraugus,WRO,"(42.0946, -78.4899)"
2023,"Absolut Center for Nursing and Rehabilitation at Allegany, LLC","Absolut Center for Nursing and Rehabilitation at Allegany, LLC",73,420302,335610,RESIDENT PNEUMOCOCCAL VACCINE,Percent of long stay residents who received the pneumococcal vaccine,6.2,99,84,76,66,54,84,,2,3,,Allegany,Cattaraugus,WRO,"(42.0946, -78.4899)"
2023,"Absolut Center for Nursing and Rehabilitation at Allegany, LLC","Absolut Center for Nursing and Rehabilitation at Allegany, LLC",73,420302,335610,RESIDENT DEPRESSION,Percent of long stay residents who have depressive symptoms,9,0.9,3.3,9.2,23.8,100,3.5,,3,1,,Allegany,Cattaraugus,WRO,"(42.0946, -78.4899)"
